Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
17416774,BEOGRADSKA TVRĐAVA,Beograd (grad),Kralja Petra 71/III,70246,Beograd-Stari Grad,9004,Rad umetničkih ustanova                                     ,malo,GRAD BEOGRAD,,100,275238,274181,274140,490,2559,34699,4808,231584,1,40,716,0,16
20140143,SPORTSKI CENTAR MILAN GALE MUŠKATIROVIĆ JP BEOGRAD,Beograd (Stari Grad),Tadeuša Košćuška 63,70246,Beograd-Stari Grad,9311,Delatnost sportskih objekata                                ,malo,GRADSKA OPŠTINA STARI GRAD,,100,113363,111122,100538,1436,25934,36743,19574,16851,212,10372,256,0,39
7451440,ADA CIGANLIJA,Beograd (Čukarica),Ada Ciganlija 2,70254,Beograd-Čukarica,8130,Usluge uredjenja i održavanja okoline                        ,srednje,"SKUPŠTINA GRADA BEOGRADA BEOGRAD, DRAGOSLAVA JOVANOVIĆA 2",,100,287553,268758,261195,0,27530,62376,44980,126309,28,7535,16767,0,29
7451792,JP HIPODROM BEOGRAD BEOGRAD,Beograd (Čukarica),Paštrovićeva 2,70254,Beograd-Čukarica,8130,Usluge uredjenja i održavanja okoline                        ,malo,GRAD BEOGRAD,,100,84533,75578,69491,0,3637,25354,1693,38807,697,5390,8969,0,16
7216459,KOMUNALNO BLACE BLACE,Blace,Radomira Putnika bb,70262,Blace,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SO BLACE,,100,54496,54221,53761,0,8727,36027,2428,6579,356,104,247,0,66
7334419,JKP BOGATIĆ BOGATIĆ,Bogatić,Mike Vitomirovića 4,70289,Bogatić,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OŠTINE BOGATIĆ,,100,30868,30522,27330,53,3641,18465,2246,2925,26,3166,346,0,34
6250033,JP ZA VODOSNABDEVANJE BOJNIK,Bojnik,Svetog Save 35,70297,Bojnik,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OPŠTINE BOJNIK,,50,25025,36992,35920,0,4631,18180,9671,3438,329,743,0,11967,42
6250033,,,,70297,,,,,SKUPŠTINA OPŠTINE DOLJEVAC,,50,,,,,,,,,,,,,
7352964,JEDINSTVO,Bojnik,11. brigade bb,70297,Bojnik,3811,Skupljanje otpada koji nije opasan,malo,SKUPŠTINA OPŠTINE BOJNIK,,100,,,,,,,,,,,,,
7183267,USLUGA,Boljevac,Timočke bune 2,70319,Boljevac,3811,Skupljanje otpada koji nije opasan,malo,Државни капитал,Lokalni nivo,0,57150,56731,48943,0,13500,27423,2083,5937,2478,5310,389,0,62
7147317,"ŠTAMPA, RADIO I FILM",Bor,Moše Pijade 19,70327,Bor,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,Државни капитал,Lokalni nivo,,38993,44707,43924,0,3227,33160,1480,6057,334,449,0,5714,65
7148372,3.OKTOBAR,Bor,7 jula 60,70327,Bor,3811,Skupljanje otpada koji nije opasan,srednje,SKUPŠTINA OPŠTINE BOR,,100,160697,157355,150902,1033,17690,112494,7354,12331,1839,4614,3317,0,206
7183453,VODOVOD,Bor,Čočetova 16,70327,Bor,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE BOR,,100,212507,325295,252609,0,74889,123985,38651,15084,35577,37109,0,111992,213
7203144,BORPREVOZ - U STEČAJU,Bor,Vasić Milana Perice 6,70327,Bor,4931,Gradski i prigradski kopneni prevoz putnika                 ,malo,OPŠTINA BOR,,100,2421,6847,6837,0,342,3001,1424,2070,10,0,0,4426,12
7342578,BOR,Bor,Nikole Pašića 14,70327,Bor,4329,Ostali instalacioni radovi u gradjevinarstvu                 ,malo,Државни капитал,Lokalni nivo,100,64282,60390,55447,0,2085,39371,5935,8056,1869,3074,3892,0,42
7384432,BOGOVINA,Bor,Čočetova 16,70327,Bor,7022,Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem,malo,OPŠTINA BOLJEVAC,,1.08,34183,47787,31894,0,6398,15165,5210,5121,739,15154,0,13374,21
7384432,,,,70327,,,,,SKUPŠTINA GRADA ZAJEČARA,,3.24,,,,,,,,,,,,,
7384432,,,,70327,,,,,OPŠTINA NEGOTIN,,4.15,,,,,,,,,,,,,
7384432,,,,70327,,,,,SKUPŠTINA OPŠTINE BOR,,91.53,,,,,,,,,,,,,
17441531,JKP TOPLANA BOR Đ.A KUNA 12,Bor,Đorđa Andrejevića Kuna 12,70327,Bor,3530,Snabdevanje parom i klimatizacija                           ,srednje,SKUPŠTINA OPŠTINE BOR,,100,531056,664591,541955,0,346657,119029,36215,40054,73485,49151,0,133700,158
7357362,JP USLUGA BOSILEGRAD,Bosilegrad,Dobrodolski potok bb,70335,Bosilegrad,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,Државни капитал,Lokalni nivo,100,,,,,,,,,,,,,
